client_id,variation,count_confirm,count_start,count_step_1,count_step_2,count_step_3,time_confirm,time_start,time_step_1,time_step_2,time_step_3,start_count,Atrás,process_duration,completed
344840,control,0,3,1,1,1,0.0,70133.47,0.07,0.58,1.7,3,1,0 days 00:00:00,False
344960,control,1,2,1,1,1,2.7,20235.02,0.53,0.9,1.72,2,1,0 days 00:05:51,True
345640,test,0,3,3,0,0,0.0,80631.87,2.6,0.0,0.0,3,2,0 days 00:00:00,False
346106,control,1,1,1,1,1,0.9,0.0,0.18,0.08,0.98,1,0,0 days 00:02:09,True
346406,test,1,1,1,1,1,1.85,0.0,0.18,0.97,1.0,1,0,0 days 00:04:00,True
346409,control,1,2,1,1,1,7.45,11124.47,0.72,0.78,1.57,2,0,7 days 17:34:59,True
346580,test,0,1,1,0,0,0.0,0.0,0.13,0.0,0.0,1,0,0 days 00:00:00,False
346781,test,1,1,1,1,1,0.35,0.0,0.08,0.2,0.28,1,0,0 days 00:00:55,True
346805,test,0,2,1,1,1,0.0,0.88,0.15,2.32,5.72,2,1,0 days 00:00:00,False
347076,control,0,2,1,1,1,0.0,14012.5,0.43,3.25,1.53,2,1,0 days 00:00:00,False
347328,control,1,1,1,1,1,0.68,0.0,0.13,0.18,1.17,1,0,0 days 00:02:10,True
347452,test,1,1,1,1,1,0.28,0.0,0.27,0.22,1.95,1,0,0 days 00:02:43,True
347861,test,1,5,3,2,2,0.45,9.53,0.28,0.37,1.8,5,2,0 days 00:12:26,True
347874,test,1,4,1,1,1,1.02,3.6,0.05,0.5,5.1,4,0,0 days 00:10:16,True
348166,control,1,2,1,1,1,1.68,2754.97,0.27,1.43,0.55,2,1,0 days 00:03:56,True
348330,control,1,2,1,1,1,0.72,0.0,0.35,0.52,1.25,2,0,0 days 00:02:50,True
348355,control,1,1,4,3,3,0.45,0.0,0.95,0.45,10.68,1,2,0 days 00:12:32,True
348888,control,1,2,2,2,1,0.5,75020.18,0.22,0.72,1.23,2,1,52 days 02:22:51,True
349305,control,1,3,4,3,2,3.85,9.28,2.88,3.72,2.67,3,4,0 days 00:22:24,True
349379,control,1,1,1,1,1,1.35,0.0,0.15,0.15,0.87,1,0,0 days 00:02:31,True
349728,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
350165,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
350463,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
350524,test,1,1,1,1,1,0.42,0.0,0.1,1.18,1.62,1,0,0 days 00:03:19,True
350673,test,3,1,1,1,1,48827.45,0.0,0.18,0.18,0.95,1,0,33 days 21:48:46,True
351038,test,1,3,2,2,1,0.4,65292.17,0.55,1.12,1.45,3,1,45 days 08:15:41,True
351093,control,1,2,1,1,1,1.38,0.0,0.1,0.07,1.73,2,0,0 days 00:03:17,True
351247,test,1,1,1,1,1,0.57,0.0,0.08,0.35,1.33,1,0,0 days 00:02:20,True
351374,control,0,2,0,0,0,0.0,81559.98,0.0,0.0,0.0,2,0,0 days 00:00:00,False
351479,test,1,0,1,1,1,2.32,0.0,0.0,0.82,1.78,0,0,0 days 00:00:00,True
351533,control,1,1,1,1,1,0.72,0.0,0.68,0.98,1.62,1,0,0 days 00:04:00,True
351690,control,1,6,3,2,1,1.75,21833.47,0.4,0.3,1.93,6,2,15 days 03:57:51,True
351701,control,1,1,1,1,1,0.38,0.0,0.18,0.4,0.43,1,0,0 days 00:01:24,True
351792,control,1,1,1,1,1,2.07,0.0,0.75,0.18,1.13,1,0,0 days 00:04:08,True
351901,test,1,3,2,2,2,0.5,80787.98,3.98,0.82,1.47,3,1,56 days 02:34:45,True
352020,test,1,2,2,2,2,5.2,1.93,0.17,1.75,5.7,2,2,0 days 00:14:45,True
352172,test,1,1,1,1,1,2.45,0.0,0.15,1.78,1.38,1,0,0 days 00:05:46,True
352491,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
352497,test,0,2,1,0,0,0.0,4.17,0.1,0.0,0.0,2,1,0 days 00:00:00,False
352659,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
352713,test,0,1,1,0,0,0.0,0.0,0.12,0.0,0.0,1,0,0 days 00:00:00,False
353281,control,0,1,1,0,0,0.0,0.0,0.45,0.0,0.0,1,0,0 days 00:00:00,False
353628,control,1,1,1,1,1,2.25,0.0,0.23,0.25,1.27,1,0,0 days 00:04:00,True
353658,control,0,2,0,0,0,0.0,0.73,0.0,0.0,0.0,2,0,0 days 00:00:00,False
353727,control,1,1,1,1,1,0.8,0.0,1.2,0.17,2.07,1,0,0 days 00:04:14,True
353828,test,0,7,4,3,1,0.0,82.93,1.85,5.03,0.17,7,4,0 days 00:00:00,False
353896,control,4,1,1,1,1,33414.58,0.0,0.18,1.72,1.27,1,0,23 days 04:57:45,True
354470,test,0,1,1,1,8,0.0,0.0,0.2,0.32,114.18,1,0,0 days 00:00:00,False
354541,test,2,1,5,3,1,7429.98,0.0,3.0,0.63,2.15,1,2,5 days 03:55:46,True
354699,control,0,1,1,1,1,0.0,0.0,0.15,0.7,1.32,1,0,0 days 00:00:00,False
354981,control,0,4,1,1,1,0.0,8.12,0.75,0.67,0.6,4,1,0 days 00:00:00,False
356001,control,0,2,0,0,0,0.0,1.07,0.0,0.0,0.0,2,0,0 days 00:00:00,False
356363,control,1,1,1,1,1,9.42,0.0,0.68,0.2,2.12,1,0,0 days 00:12:25,True
356380,control,1,4,3,0,0,66459.78,34394.07,1.93,0.0,0.0,4,1,70 days 00:55:47,True
356581,control,1,1,1,1,1,1.7,0.0,0.35,0.18,0.65,1,0,0 days 00:02:53,True
356780,control,1,3,2,1,1,7.6,4662.82,2.6,2.78,4.03,3,1,0 days 00:16:51,True
356783,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
356824,control,0,6,1,1,1,0.0,64465.87,0.28,0.67,0.32,6,1,0 days 00:00:00,False
357090,control,1,2,1,1,1,0.9,1277.52,0.18,0.4,1.45,2,1,0 days 00:02:56,True
357318,test,1,1,1,1,1,0.38,0.0,1.07,2.78,1.08,1,0,0 days 00:05:19,True
357553,test,1,1,2,3,2,1.32,0.0,0.2,0.3,1.38,1,2,0 days 00:03:12,True
357583,test,0,2,1,1,1,0.0,4.08,0.45,0.33,1.7,2,1,0 days 00:00:00,False
357945,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
358027,test,0,1,1,0,0,0.0,0.0,0.68,0.0,0.0,1,0,0 days 00:00:00,False
358176,control,1,1,1,1,1,2.12,0.0,1.08,0.22,0.57,1,0,0 days 00:03:59,True
358189,control,1,2,2,1,1,2.43,23206.68,0.82,0.18,1.25,2,1,0 days 00:04:32,True
358223,test,1,1,1,1,1,0.32,0.0,0.15,0.22,1.05,1,0,0 days 00:01:44,True
358285,test,0,3,0,0,0,0.0,0.33,0.0,0.0,0.0,3,0,0 days 00:00:00,False
358456,test,1,1,1,1,1,0.43,0.0,0.15,0.48,1.02,1,0,0 days 00:02:05,True
358827,control,1,2,1,1,1,1.2,5505.63,1.0,0.57,0.53,2,0,3 days 19:48:56,True
358876,control,0,1,2,1,1,0.0,0.0,0.9,0.08,0.57,1,1,0 days 00:00:00,False
358970,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
359266,control,0,6,2,1,0,0.0,92692.38,0.7,0.6,0.0,6,1,0 days 00:00:00,False
359316,test,0,1,2,2,4,0.0,0.0,0.92,0.28,6.92,1,1,0 days 00:00:00,False
359374,control,0,3,0,0,0,0.0,1.28,0.0,0.0,0.0,3,0,0 days 00:00:00,False
359623,control,0,11,6,0,0,0.0,83455.88,10.12,0.0,0.0,11,5,0 days 00:00:00,False
359736,test,2,1,1,1,1,1290.93,0.0,1.68,4.55,0.82,1,0,0 days 21:37:59,True
359922,test,1,2,1,1,1,0.57,1.2,0.1,0.45,1.27,2,0,0 days 00:03:35,True
360131,control,0,1,1,1,0,0.0,0.0,0.1,0.15,0.0,1,0,0 days 00:00:00,False
360511,control,1,1,1,1,2,1.65,0.0,0.32,0.18,3.37,1,0,0 days 00:05:31,True
360674,test,1,1,1,1,1,1.32,0.0,0.32,0.25,2.45,1,0,0 days 00:04:20,True
360816,control,1,3,1,1,1,0.47,61523.45,0.18,0.8,0.97,3,0,42 days 17:25:52,True
360872,control,1,1,1,1,1,1.8,0.0,0.28,0.13,1.18,1,0,0 days 00:03:24,True
361296,control,1,3,2,2,2,0.97,20462.15,0.17,0.3,1.3,3,1,14 days 05:04:53,True
361306,control,0,2,0,0,0,0.0,5.3,0.0,0.0,0.0,2,0,0 days 00:00:00,False
361484,control,1,1,1,1,1,1.13,0.0,0.15,0.08,1.23,1,0,0 days 00:02:36,True
361590,test,0,2,1,0,0,0.0,0.83,0.08,0.0,0.0,2,1,0 days 00:00:00,False
361728,control,1,1,1,1,1,1.55,0.0,0.52,0.25,1.02,1,0,0 days 00:03:20,True
362107,test,1,1,1,1,1,0.35,0.0,0.05,0.35,0.28,1,0,0 days 00:01:02,True
362727,test,1,1,1,1,1,0.7,0.0,0.8,1.0,1.83,1,0,0 days 00:04:20,True
363066,test,0,3,0,0,0,0.0,1.05,0.0,0.0,0.0,3,0,0 days 00:00:00,False
